"","author","status","id"
"70","BorisJohnson","Wonderful news that over 30 million people have received their first dose.

We need to keep up the momentum. Please make sure you get your second dose when you are called to do so. https://t.co/zAZfaIEHNW",70
"71","BorisJohnson","If you are in need of support, or if you are concerned about a friend or family member, there is help available: https://t.co/tHBIQW32xB",71
"72","BorisJohnson","We’re investing £500m in mental health services, which will expand NHS talking therapies to an additional 1.6 million people. 
 
We recognise the impact this pandemic has had on wellbeing and are dedicated to providing better mental health support for those in need. https://t.co/lN4XatF4Sq",72
"73","BorisJohnson","This morning I spoke with some of those who have been shining a light on the gross human rights violations being perpetrated against Uyghur Muslims.

I stand firmly with them and the other British citizens sanctioned by China. https://t.co/WsQ3XvAedP",73
"74","BorisJohnson","Last night saw disgraceful attacks against police officers in Bristol. 

Our officers should not have to face having bricks, bottles and fireworks being thrown at them by a mob intent on violence and causing damage to property.

The police and the city have my full support.",74
"75","BorisJohnson","Chag kasher v’sameach to everyone celebrating #Passover.

While families, friends and neighbours can't come together as they usually would, I know our fantastic Jewish community - known for its strength and resilience – will celebrate this Pesach safely. https://t.co/lQfCIDZV2K",75
"76","BorisJohnson","I want to congratulate the people of Bangladesh on your 50th anniversary. 

The bond between our two nations is incarnated by the 600,000 strong British-Bangladeshi community, who contribute so much to our country 🇬🇧🇧🇩

#Bangladesh50
#BritBanglaBondhon https://t.co/kIw0BSFWtF",76
"77","BorisJohnson","The MPs and other British citizens sanctioned by China today are performing a vital role shining a light on the gross human rights violations being perpetrated against Uyghur Muslims. 

Freedom to speak out in opposition to abuse is fundamental and I stand firmly with them.",77
"78","BorisJohnson","It was fantastic to meet the children, parents and staff at Monkey Puzzle Nursery in Greenford today. https://t.co/W6AtZuIUsg",78
"79","BorisJohnson","Best wishes to the people of Greece on the 200th anniversary of the Greek Revolution. The UK was proud to play its part in the establishment of the modern Greek state and I greatly value the friendship that exists between our people today 🇬🇧🇬🇷",79
"80","BorisJohnson","Today we take a positive step forward in our commitment to tackle illegal entry, punish people smugglers and safeguard those who are in genuine need of refuge. 

This is our fair but firm New Plan for Immigration ⬇️ https://t.co/FzqSm9lTsf",80
"81","BorisJohnson","Cautiously but irreversibly, step by step, jab by jab, this country is on the path to reclaiming our freedoms. https://t.co/rJeCil9lit",81
"82","BorisJohnson","WATCH LIVE: An update on coronavirus (23 March 2021) https://t.co/vTeh0ng1EO",82
"83","BorisJohnson","Today, the anniversary of the first lockdown, is an opportunity to reflect on the past year – one of the most difficult in our country’s history. https://t.co/Y7yt8OoRMW",83
"84","BorisJohnson","Fantastic to visit @BAESystemsplc in Warton.
 
Our £24bn investment in security and defence will modernise our Armed Forces, creating jobs and securing our place as a science superpower. https://t.co/lNInD0ibT7",84
"85","BorisJohnson","Yesterday was a record-breaking day for the vaccine rollout, with 873,784 people receiving a jab. 

A huge thank you to everyone involved and please come forward to get your jab when you are invited to do so.",85
"86","BorisJohnson","More than half the adult population of the UK have now received their first jab. 

Many thanks to everyone involved in this fantastic achievement. Let’s keep going! https://t.co/cf9kWThmuM",86
"87","BorisJohnson","I’ve just had my first AstraZeneca vaccine.

Get your jab when you’re asked to do so. It’s good for you, it’s good for your family and it’s a great thing for the whole country. https://t.co/pc5tnY9PGK",87
"88","BorisJohnson","I've just received my first Oxford/AstraZeneca vaccine dose.

Thank you to all of the incredible scientists, NHS staff and volunteers who helped make this happen.

Getting the jab is the best thing we can do to get back to the lives we miss so much.

Let's get the jab done. https://t.co/mQCTMAkB8d",88
